ANNO;COD_ATENEO;NOME_ATENEO;Reg_ATENEO;AREA_GEO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;N_PERS
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;8
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;14
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;5
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;2
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;5PC;Personale docente a contratto;25
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;5PC;Personale docente a contratto;23
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;21
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;10
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;7CL;Collaboratori linguistici;0
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;7CL;Collaboratori linguistici;0
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;37
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;2
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;17
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;0
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);254
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);552
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;231
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;257
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;206
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;182
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;5PC;Personale docente a contratto;297
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;5PC;Personale docente a contratto;455
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;728
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;383
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;7CL;Collaboratori linguistici;13
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;7CL;Collaboratori linguistici;9
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;906
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;7
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;506
2015;01001;Genova - Università degli studi;Liguria;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;3
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);8
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);23
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;5
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;15
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;1
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;2
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;44
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;107
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;15
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;29
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;0
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;7CL;Collaboratori linguistici;0
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;62
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;2
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;26
2015;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;0
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);60
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);162
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;62
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;81
